,title,aliases,rank_display,rank,country,region,Total_Students_x,Total_Students_y,Total_Faculty_x,Total_Faculty_y,Faculty/Student_ratio_x,Faculty/Student_ratio_y,International_Students_x,International_Students_y,Inter/Total_student_ratio_x,Inter/Total_student_ratio_y,International_Faculty_x,International_Faculty_y
94,Lomonosov Moscow State University,Lomonosov Moscow State University,=95,194,Russia,Europe,30233.0,29236,6709.0,4004.0,0.22190983362550856,0.136986301369863,5098.0,6431.0,0.1686236893460788,0.22,373.0,
95,The Hong Kong Polytechnic University,Hong Kong Polytechnic University hkpu hong kong poly,=95,=182,Hong Kong,Asia,20972.0,21773,2447.0,809.0,0.1166793820331871,0.03717472118959108,5251.0,5443.0,0.2503814609956132,0.25,1275.0,
96,University of Science and Technology of China,University of Science and Technology of China,97,132,China,Asia,16032.0,16032,1992.0,1955.0,0.12425149700598802,0.12195121951219513,548.0,480.0,0.03418163672654691,0.03,155.0,
97,University of Geneva,University of Geneva,=98,=130,Switzerland,Europe,15844.0,16085,1752.0,1065.0,0.1105781368341328,0.06622516556291391,6104.0,6434.0,0.38525624842211564,0.4,1029.0,
98,KTH Royal Institute of Technology,KTH Royal Institute of Technology,=98,=173,Sweden,Europe,12658.0,12951,1500.0,809.0,0.11850213303839469,0.0625,1937.0,2201.0,0.15302575446358035,0.17,494.0,
99,Washington University in St. Louis,Washington University in St Louis,100,=50,United States,North America,13474.0,12600,2699.0,1680.0,0.20031171144426302,0.13333333333333333,2706.0,2142.0,0.20083123051803473,0.17,784.0,
100,University of Leeds,University of Leeds,101,139,United Kingdom,Europe,29645.0,27995,3025.0,1904.0,0.10204081632653061,0.06802721088435375,7534.0,7278.0,0.2541406645302749,0.26,870.0,
101,University of Southampton,University of Southampton,=102,=126,United Kingdom,Europe,23775.0,21670,2820.0,1733.0,0.11861198738170348,0.08,7789.0,7151.0,0.3276130389064143,0.33,1017.0,
102,University of Helsinki,University of Helsinki,=102,90,Finland,Europe,22419.0,22532,2645.0,1390.0,0.11798028458004371,0.0617283950617284,1234.0,1351.0,0.05504259779651189,0.06,535.0,
103,Eindhoven University of Technology,Eindhoven University of Technology,104,=141,Netherlands,Europe,7636.0,7637,801.0,410.0,0.10489785227867994,0.05376344086021505,1275.0,1298.0,0.16697223677317968,0.17,322.0,
104,Purdue University,Purdue University,105,60,United States,North America,38143.0,38770,3247.0,2228.0,0.0851270219961723,0.0574712643678161,8787.0,8917.0,0.2303699237081509,0.23,1334.0,
106,"KIT, Karlsruhe Institute of Technology",Karlsruhe Institute of Technology,107,133,Germany,Europe,26081.0,25824,1827.0,981.0,0.07005099497718646,0.03802281368821293,4809.0,4648.0,0.18438710172155975,0.18,410.0,
107,Sungkyunkwan University (SKKU),Sungkyunkwan University (SKKU),108,=111,South Korea,Asia,23921.0,24055,3556.0,1227.0,0.14865599264244805,0.0510204081632653,2818.0,2886.0,0.11780443961372852,0.12,324.0,
108,Utrecht University,Utrecht University utrecht  utrecht university,=109,68,Netherlands,Europe,31754.0,31522,3067.0,2073.0,0.09658625684953077,0.06578947368421052,2771.0,2206.0,0.08726459658625685,0.07,653.0,
109,Leiden University,Leiden University,=109,67,Netherlands,Europe,26513.0,24825,2324.0,1364.0,0.08765511258627844,0.054945054945054944,3488.0,2979.0,0.13155810357183267,0.12,581.0,
110,The University of Adelaide,University of Adelaide,=109,=134,Australia,Oceania,21240.0,21241,1729.0,619.0,0.0814030131826742,0.02915451895043732,8114.0,5522.0,0.382015065913371,0.26,633.0,
111,Uppsala University,Uppsala University,112,=86,Sweden,Europe,25371.0,25174,2567.0,1455.0,0.10117851089826968,0.057803468208092484,5198.0,2769.0,0.2048795869299594,0.11,584.0,
112,University of Groningen,University of Groningen,113,=83,Netherlands,Europe,27549.0,26197,3351.0,1087.0,0.12163780899488184,0.04149377593360996,10780.0,4453.0,0.3913027696105122,0.17,1137.0,
114,Nanjing University,Nanjing University,=114,=169,China,Asia,32495.0,33456,2449.0,2356.0,0.07536544083705185,0.07042253521126761,2960.0,3345.0,0.09109093706724111,0.1,617.0,
